district_name,N,P,K,temperature,ph,rainfall,label,yield,Area,Production,Season
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.3576744442718159,29208.38,18340706.17,1
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.2070141693843261,29208.38,18340706.17,1
25,78.12,49.75,44.17,25.91513406,6.5,819.1890095,APPLE,0.1823215567939546,29208.38,18340706.17,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.203237160297767,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.216347803680786,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.478386388288698,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.378513908542313,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.285839845036924,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.9783261227936076,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.116615617633488,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,1.0543120297715298,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,5.234312036572124,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8628899551470399,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.926238677457506,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8671004876833832,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.934905494670872,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.7793248768009976,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.779627567725244,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.598836501088704,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.416307281150715,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8020015854720274,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.82326099366565,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8109302162163288,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.832465108424777,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.7323678937132266,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.689695141057779,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.76080582903376,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.7485776492828204,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8153648132841945,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.843320569408824,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8754687373538999,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.9503897670809724,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.5247285289349821,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.253056253376921,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.9001613499442714,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.991724269204496,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.774912960575186,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.8960880245566356,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.980657070576569,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.7929925155296614,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,4.80582269946677,85512.61,3525877.61,1
25,92.43,47.28,48.35,37.22222222,6.52,800.0,BAJRA,0.7466879474879752,85512.61,3525877.61,1
