district_name,N,P,K,temperature,ph,rainfall,label,yield,Area,Production,Season,humidity
25,78.12,49.75,44.17,17.25,6.5,1464.85,APPLE,0.3576744442718159,29208.38,18340706.17,1,65.3
25,78.12,49.75,44.17,20.7,6.5,1404.06,APPLE,0.2070141693843261,29208.38,18340706.17,1,64.88
25,78.12,49.75,44.17,19.39,6.5,1316.7,APPLE,0.1823215567939546,29208.38,18340706.17,1,79.46
25,92.43,47.28,48.35,33.55,6.52,316.18,BAJRA,5.203237160297767,85512.61,3525877.61,1,44.65
25,92.43,47.28,48.35,32.04,6.52,380.6,BAJRA,5.216347803680786,85512.61,3525877.61,1,38.09
25,92.43,47.28,48.35,29.74,6.52,334.7,BAJRA,5.478386388288698,85512.61,3525877.61,1,31.37
25,92.43,47.28,48.35,25.98,6.52,438.99,BAJRA,5.378513908542313,85512.61,3525877.61,1,45.68
25,92.43,47.28,48.35,29.92,6.52,369.22,BAJRA,5.285839845036924,85512.61,3525877.61,1,35.72
25,92.43,47.28,48.35,29.73,6.52,495.12,BAJRA,0.9783261227936076,85512.61,3525877.61,1,38.66
25,92.43,47.28,48.35,26.73,6.52,428.19,BAJRA,5.116615617633488,85512.61,3525877.61,1,43.71
25,92.43,47.28,48.35,29.34,6.52,464.5,BAJRA,1.0543120297715298,85512.61,3525877.61,1,36.65
25,92.43,47.28,48.35,28.99,6.52,326.5,BAJRA,5.234312036572124,85512.61,3525877.61,1,31.13
25,92.43,47.28,48.35,31.16,6.52,472.4,BAJRA,0.8628899551470399,85512.61,3525877.61,1,37.48
25,92.43,47.28,48.35,31.35,6.52,484.55,BAJRA,4.926238677457506,85512.61,3525877.61,1,48.89
25,92.43,47.28,48.35,25.45,6.52,397.41,BAJRA,0.8671004876833832,85512.61,3525877.61,1,42.83
25,92.43,47.28,48.35,28.75,6.52,421.25,BAJRA,4.934905494670872,85512.61,3525877.61,1,43.43
25,92.43,47.28,48.35,31.26,6.52,452.96,BAJRA,0.7793248768009976,85512.61,3525877.61,1,42.65
25,92.43,47.28,48.35,30.03,6.52,334.97,BAJRA,4.779627567725244,85512.61,3525877.61,1,33.98
25,92.43,47.28,48.35,33.56,6.52,400.51,BAJRA,0.598836501088704,85512.61,3525877.61,1,38.37
25,92.43,47.28,48.35,31.59,6.52,379.73,BAJRA,4.416307281150715,85512.61,3525877.61,1,45.02
25,92.43,47.28,48.35,26.63,6.52,329.27,BAJRA,0.8020015854720274,85512.61,3525877.61,1,32.03
25,92.43,47.28,48.35,25.71,6.52,373.51,BAJRA,4.82326099366565,85512.61,3525877.61,1,35.56
25,92.43,47.28,48.35,31.42,6.52,313.63,BAJRA,0.8109302162163288,85512.61,3525877.61,1,35.53
