district_name,N,P,K,temperature,humidity,ph,rainfall,label,yield,NPK_total,NPK_ratio,Climate_score,Temp_humidity_interaction,Soil_quality_score
0,78.12,49.75,44.17,25.92,84.5,6.5,819.19,SUNFLOWER,64.29,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
13,78.12,49.75,44.17,25.92,84.5,6.5,819.19,KIDNEYBEANS,20.0,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
31,78.12,49.75,44.17,30.0,82.3,6.5,550.0,RICE,0.21,172.04000000000002,0.8317717117571155,38.339999999999996,2469.0,10.0
24,48.18,35.0,25.0,25.92,84.5,6.73,819.19,NIGER SEED,5.59,108.18,0.8029999866166669,38.17557,2190.2400000000002,9.595142376793728
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,JOWAR,16.28,172.04000000000002,0.8317717117571155,38.11557,2185.056,10.0
33,78.12,49.75,44.17,25.92,84.5,6.5,819.19,KIDNEYBEANS,0.4,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
8,78.12,49.75,44.17,25.92,84.5,6.5,819.19,CHILLIES,1.0,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
3,54.63,37.03,36.6,25.92,84.5,6.76,819.19,LENTIL,58.2,128.26,0.741952998207891,38.17557,2190.2400000000002,9.48557850406423
33,78.12,49.75,44.17,25.92,84.5,6.5,819.19,GRAPES,40.0,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
3,135.0,70.0,49.66,25.92,84.5,6.61,819.19,BANANA,108.04,254.66,1.128196547482897,38.17557,2190.2400000000002,9.905914153272146
12,78.12,49.75,44.17,25.92,84.5,6.5,819.19,SOYABEAN,32.19,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
5,78.12,49.75,44.17,25.92,84.5,6.5,819.19,POMEGRANATE,0.38,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
7,78.12,49.75,44.17,25.92,84.5,6.5,819.19,KIDNEYBEANS,33.33,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
5,78.12,49.75,44.17,25.92,84.5,6.5,819.19,APPLE,0.22,172.04000000000002,0.8317717117571155,38.17557,2190.2400000000002,10.0
25,78.12,49.75,44.17,25.92,84.3,6.5,819.19,PIGEONPEAS,300.0,172.04000000000002,0.8317717117571155,38.11557,2185.056,10.0
31,78.12,49.75,44.17,25.92,82.3,6.5,819.19,MAIZE,51.11,172.04000000000002,0.8317717117571155,37.51557,2133.216,10.0
